t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:00.192751000,2330,0,0,25,2730000,2735000,386
2020-04-06D09:05:00.349290000,2330,0,0,25,2730000,2735000,386
2020-04-06D09:05:00.411350000,2330,0,0,25,2730000,2735000,386
2020-04-06D09:05:00.421660000,2330,0,0,27,2730000,2735000,386
2020-04-06D09:05:01.110040000,2330,0,0,27,2730000,2735000,386
2020-04-06D09:05:02.029235000,2330,0,0,27,2730000,2735000,389
2020-04-06D09:05:02.051476000,2330,0,0,27,2730000,2735000,389
2020-04-06D09:05:02.058541000,2330,0,0,27,2730000,2735000,389
2020-04-06D09:05:02.066196000,2330,0,0,27,2730000,2735000,389
2020-04-06D09:05:02.462856000,2330,0,0,27,2730000,2735000,391
2020-04-06D09:05:02.532130000,2330,2730000,1,26,2730000,2735000,391
2020-04-06D09:05:02.614034000,2330,0,0,26,2730000,2735000,391
2020-04-06D09:05:02.616809000,2330,0,0,26,2730000,2735000,395
2020-04-06D09:05:02.888250000,2330,0,0,26,2730000,2735000,395
2020-04-06D09:05:03.093458000,2330,0,0,27,2730000,2735000,395
2020-04-06D09:05:03.519577000,2330,0,0,28,2730000,2735000,395
2020-04-06D09:05:03.687596000,2330,0,0,28,2730000,2735000,395
2020-04-06D09:05:04.028198000,2330,0,0,28,2730000,2735000,395
2020-04-06D09:05:04.056322000,2330,0,0,28,2730000,2735000,395
2020-04-06D09:05:04.059660000,2330,0,0,28,2730000,2735000,395
2020-04-06D09:05:04.176676000,2330,0,0,28,2730000,2735000,395
2020-04-06D09:05:04.198310000,2330,0,0,28,2730000,2735000,400
2020-04-06D09:05:04.479277000,2330,0,0,30,2730000,2735000,400
2020-04-06D09:05:04.494691000,2330,2735000,2,30,2730000,2735000,398
2020-04-06D09:05:04.549767000,2330,2730000,5,25,2730000,2735000,398
2020-04-06D09:05:04.587790000,2330,2730000,1,24,2730000,2735000,398
2020-04-06D09:05:04.638276000,2330,0,0,27,2730000,2735000,398
2020-04-06D09:05:04.642548000,2330,2730000,1,26,2730000,2735000,398
2020-04-06D09:05:04.715387000,2330,2730000,1,25,2730000,2735000,398
2020-04-06D09:05:04.739037000,2330,2730000,1,24,2730000,2735000,398
2020-04-06D09:05:04.776173000,2330,0,0,24,2730000,2735000,398
2020-04-06D09:05:04.801457000,2330,2730000,1,23,2730000,2735000,398
2020-04-06D09:05:04.926649000,2330,0,0,23,2730000,2735000,398
2020-04-06D09:05:05.066980000,2330,0,0,23,2730000,2735000,398
2020-04-06D09:05:05.075034000,2330,0,0,23,2730000,2735000,398
2020-04-06D09:05:05.083045000,2330,0,0,23,2730000,2735000,398
2020-04-06D09:05:05.139099000,2330,0,0,23,2730000,2735000,401
2020-04-06D09:05:05.139312000,2330,0,0,24,2730000,2735000,401
2020-04-06D09:05:05.139580000,2330,0,0,25,2730000,2735000,401
2020-04-06D09:05:05.146389000,2330,0,0,28,2730000,2735000,401
2020-04-06D09:05:05.217434000,2330,2735000,8,28,2730000,2735000,393
2020-04-06D09:05:05.269057000,2330,2730000,1,27,2730000,2735000,393
2020-04-06D09:05:05.724754000,2330,0,0,27,2730000,2735000,390
2020-04-06D09:05:05.733338000,2330,0,0,27,2730000,2735000,389
2020-04-06D09:05:05.745849000,2330,0,0,27,2730000,2735000,389
2020-04-06D09:05:05.754777000,2330,0,0,27,2730000,2735000,389
2020-04-06D09:05:06.110402000,2330,0,0,31,2730000,2735000,389
2020-04-06D09:05:06.199666000,2330,0,0,31,2730000,2735000,389
2020-04-06D09:05:06.313165000,2330,0,0,31,2730000,2735000,389
2020-04-06D09:05:07.054578000,2330,0,0,31,2730000,2735000,389
2020-04-06D09:05:07.065776000,2330,0,0,33,2730000,2735000,389
2020-04-06D09:05:07.117877000,2330,0,0,34,2730000,2735000,389
2020-04-06D09:05:07.215907000,2330,0,0,34,2730000,2735000,389
2020-04-06D09:05:07.455328000,2330,0,0,34,2730000,2735000,389
2020-04-06D09:05:07.859811000,2330,0,0,34,2730000,2735000,389
2020-04-06D09:05:07.976339000,2330,0,0,34,2730000,2735000,389
2020-04-06D09:05:08.301264000,2330,0,0,35,2730000,2735000,389
2020-04-06D09:05:08.380065000,2330,2730000,3,32,2730000,2735000,389
2020-04-06D09:05:08.860537000,2330,0,0,35,2730000,2735000,389
2020-04-06D09:05:08.923174000,2330,2730000,20,15,2730000,2735000,389
2020-04-06D09:05:08.944100000,2330,2730000,1,14,2730000,2735000,389
2020-04-06D09:05:08.990032000,2330,2730000,3,11,2730000,2735000,389
2020-04-06D09:05:08.991169000,2330,2735000,5,11,2730000,2735000,384
2020-04-06D09:05:09.000154000,2330,2730000,5,6,2730000,2735000,384
2020-04-06D09:05:09.019160000,2330,2730000,5,1,2730000,2735000,384
2020-04-06D09:05:09.075612000,2330,0,0,4,2730000,2735000,384
2020-04-06D09:05:09.076376000,2330,0,0,7,2730000,2735000,384
2020-04-06D09:05:09.086267000,2330,0,0,4,2730000,2735000,384
2020-04-06D09:05:09.088412000,2330,0,0,1,2730000,2735000,384
2020-04-06D09:05:09.346539000,2330,2730000,1,206,2725000,2735000,384
2020-04-06D09:05:09.421327000,2330,0,0,206,2725000,2735000,387
2020-04-06D09:05:09.428435000,2330,2725000,1,205,2725000,2735000,387
2020-04-06D09:05:09.487377000,2330,2725000,1,204,2725000,2735000,387
2020-04-06D09:05:09.553413000,2330,0,0,204,2725000,2735000,387
2020-04-06D09:05:09.632710000,2330,2735000,2,204,2725000,2735000,385
2020-04-06D09:05:09.781955000,2330,0,0,204,2725000,2735000,385
2020-04-06D09:05:10.015778000,2330,0,0,204,2725000,2735000,385
2020-04-06D09:05:10.023234000,2330,0,0,202,2725000,2735000,385
2020-04-06D09:05:10.035656000,2330,0,0,203,2725000,2735000,385
2020-04-06D09:05:10.039760000,2330,0,0,1,2730000,2735000,385
2020-04-06D09:05:10.041961000,2330,0,0,1,2730000,2735000,388
2020-04-06D09:05:10.121482000,2330,2735000,3,1,2730000,2735000,385
2020-04-06D09:05:10.124471000,2330,0,0,1,2730000,2735000,386
2020-04-06D09:05:10.176790000,2330,0,0,1,2730000,2735000,386
2020-04-06D09:05:10.526679000,2330,0,0,1,2730000,2735000,386
2020-04-06D09:05:10.554416000,2330,0,0,5,2730000,2735000,386
2020-04-06D09:05:10.631331000,2330,2730000,2,3,2730000,2735000,386
2020-04-06D09:05:10.733054000,2330,0,0,3,2730000,2735000,386
2020-04-06D09:05:10.808529000,2330,2730000,1,2,2730000,2735000,386
2020-04-06D09:05:10.919454000,2330,2730000,1,1,2730000,2735000,386
2020-04-06D09:05:11.024698000,2330,0,0,1,2730000,2735000,386
2020-04-06D09:05:11.151828000,2330,2735000,2,1,2730000,2735000,384
2020-04-06D09:05:11.163871000,2330,0,0,1,2730000,2735000,385
2020-04-06D09:05:11.185794000,2330,0,0,1,2730000,2735000,385
2020-04-06D09:05:11.208741000,2330,0,0,1,2730000,2735000,416
